trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,11,-61.784441242246835,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,13,-53.62344075148236,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,8,-9.625672444678283,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,-1,-70.3193550906641,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,2,-9.834105329290987,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,-47,-193.3129856673957,"{0: 51, 1: 5, 2: 13, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,1,-48.29973284285406,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,14,-5.414869320260731,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,10,-28.71636499351053,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,-7,-41.48450669803923,"{0: 30, 1: 2, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,-38,-135.6686097241406,"{0: 48, 1: 4, 2: 8, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,2,-13.416931970091259,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",35,-12,-41.632458300514465,"{0: 35, 1: 3, 2: 9, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",30,11,-90.97168189809557,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,-6,-40.322321671852144,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,20,10.324325896038253,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,-3,-6.568415444170033,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,-17,-19.754610056513123,"{0: 27, 1: 6, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,9,-38.39242651395335,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,16,6.265102976979215,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,16,6.634874988125347,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,3,-16.86214128430342,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,4,-86.7232977872228,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,8,14.915583038020085,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,-9,-61.13821932943923,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,14,16.076530426161654,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,4,3.2296894926702198,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,13,-11.152734623505419,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,17,-0.8679946482708418,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,9,-3.897981335528984,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,11,5.080535397092275,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,15,-24.56014995295929,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,-5,-10.303742222450918,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,3,-40.79370776993635,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,-5,33.98510046706436,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-49.37339667870717,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,16,7.3928048730273375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,-2,30.48048306091807,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,3,-43.1999814514993,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,-9,14.706026238922288,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,12,-5.710321389958679,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,-3,-37.34965149810436,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,12,12.016755155119155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",35,21,-8.377902548468537,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,12,1.9306458643015734,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,4,-28.1158338783365,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",25,13,-1.3031343373826436,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",25,17,5.196588045272802,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,11,3.968988228547368,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,14,12.731011838231145,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,9,-18.315832637990702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
